press1.x,press1.y,release1.x,release1.y,press2.x,press2.y,release2.x,release2.y,press3.x,press3.y,release3.x,release3.y,press4.x,press4.y,release4.x,release4.y
-7.963074191,1.395324143,4.171378934,692.6500934,-7.902757841,0.911567895,4.162242159,658.3988347,-7.919520778,0.92473133,4.155401097,677.482525,-7.919770911,0.720117343,4.174994714,738.9294411
-7.972996066,1.013584519,4.191222684,765.0588601,-7.922601591,0.819423848,4.182085909,715.5818946,-7.939364528,0.787173431,4.165322972,715.3734736,-7.959458411,0.770060966,4.204760339,815.6196152
-7.982917941,2.071047155,4.201144559,823.7326791,-7.942445341,0.960930778,4.192007784,761.5935858,-7.949286403,0.960930778,4.175244847,764.9436801,-7.969380286,1.035523578,4.214682214,857.374032
-7.972996066,1.987678732,4.211066434,884.1835619,-7.962289091,1.279485912,4.201929659,816.0967897,-7.969130153,0.651590048,4.205010472,830.8128522,-7.979302161,0.802969554,4.224604089,906.4769365
-7.982917941,0.728376754,4.230910184,941.3534584,-7.972210966,0.747683126,4.211851534,870.2478717,-7.979052028,1.044299201,4.214932347,877.770775,-7.979302161,0.86878673,4.234525964,928.335479
-7.982917941,0.684498636,4.240832059,988.0573269,-7.977171904,1.411778437,4.221773409,917.4815684,-7.988973903,1.074136321,4.224854222,909.6559062,-7.979302161,0.792438806,4.244447839,981.9067117
-7.982917941,0.864398919,4.260675809,1036.258536,-7.969730498,0.263268706,4.251539034,954.7373812,-7.998895778,0.819423848,4.234776097,940.382655,-7.969380286,1.698083155,4.254369714,1003.25561
-7.972996066,1.053074825,4.270597684,1076.637374,-7.962289091,1.378869849,4.261460909,1031.881694,-7.988973903,0.937894766,4.163529929,937.9934915,-7.959458411,0.826663737,4.169070755,1013.041527
-7.963074191,0.595645448,4.275558621,1103.115624,-7.952367216,0.833684236,4.167216069,1031.503245,-7.998895778,1.29001666,4.092283762,970.2679097,-7.939614661,0.776642683,4.083771796,987.0405773
-7.953152316,0.914858754,4.280519559,1126.928279,-7.932523466,1.243944637,4.07297123,1060.258069,-7.998895778,0.355412753,4.082361887,801.6697751,-7.929692786,0.563395031,4.073849921,692.2461688
-7.943230441,0.741540189,4.092454292,1172.68435,-7.912679716,0.960930778,4.063049355,972.9894248,-7.998895778,1.365706413,4.082361887,612.0099251,-7.924731848,0.849981823,4.063928046,409.5966694
-7.933308566,1.842880943,4.082532417,1169.869342,-7.902757841,1.205770674,4.05312748,553.3610923,-7.988973903,0.766111935,4.082361887,516.5200941,-7.919770911,0.673215692,4.044084296,255.5480859
-7.913464816,0.506792259,4.092454292,1155.929653,-7.872992216,1.250526354,4.03328373,230.7418987,-7.979052028,0.960930778,4.072440012,447.1187288,-7.880083411,1.053074825,4.024240546,173.5238859
-7.883699191,1.057462636,4.082532417,1160.376796,-7.863070341,1.648720272,4.01343998,186.1112345,-7.969130153,1.118892001,4.062518137,335.3004896,-7.860239661,0.845092547,4.004396796,96.34491085
-7.873777316,0.631844895,4.092454292,1040.194743,-7.833304716,1.085983413,4.003518105,107.2182327,-7.949286403,0.914858754,4.052596262,266.1134061,-7.850317786,0.559446001,3.964709296,61.01571383
