press1.x,press1.y,release1.x,release1.y,press2.x,press2.y,release2.x,release2.y,press3.x,press3.y,release3.x,release3.y,press4.x,press4.y,release4.x,release4.y
-3.336889789,0.903011662,4.114438336,649.4312444,-3.322362737,2.114925273,4.109121638,674.2925859,-3.32007079,1.862626096,4.111413585,663.7179595,-3.323785088,1.902116402,4.117621162,679.7992897
-3.326967914,3.00126325,4.124360211,714.4498392,-3.352128362,1.898825543,4.119043513,729.9081001,-3.349836415,1.754027755,4.12133546,707.2362766,-3.333706963,1.865916955,4.127543037,728.4151471
-3.336889789,1.610326919,4.134282086,773.4088659,-3.362050237,2.178548544,4.138887263,785.8899965,-3.369680165,1.856044379,4.14117921,762.0378517,-3.343628838,1.813263214,4.137464912,776.3135973
-3.317046039,2.136864332,4.154125836,831.380635,-3.371972112,1.794615014,4.158731013,864.5700433,-3.389523915,1.704664872,4.151101085,820.7566458,-3.363472588,1.873595626,4.157308662,815.0897869
-3.326967914,0.76786706,4.164047711,881.7965923,-3.391815862,1.838493131,4.168652888,932.155508,-3.39944579,1.691501437,4.16102296,854.3113394,-3.373394463,2.049108096,4.167230537,865.1667857
-3.307124164,2.369418356,4.183891461,926.5051033,-3.401737737,2.022781226,4.188496638,969.3915756,-3.389523915,2.277274308,4.170944835,904.4289254,-3.383316338,1.691501437,4.172191475,897.0190083
-3.317046039,1.219811672,4.193813336,956.9203176,-3.401737737,1.770482049,4.198418513,1002.860707,-3.37960204,2.62829925,4.18086671,943.7744335,-3.383316338,2.122603944,4.177152412,925.3105216
-3.307124164,3.442238333,4.203735211,1018.040342,-3.401737737,1.781451578,4.20337945,1028.889206,-3.389523915,1.917473743,4.190788585,968.8288387,-3.383316338,1.615811684,4.187074287,948.6657467
-3.317046039,1.14083106,4.084913581,1008.033937,-3.391815862,2.13247652,4.076948825,1039.652508,-3.37960204,3.517928086,4.20071046,1011.798679,-3.373394463,2.023878179,4.196996162,963.6358635
-3.341850727,0.289595577,3.966091951,825.892488,-3.391815862,2.44181725,3.9505182,943.0764159,-3.369680165,1.533540213,4.210632335,1017.774879,-3.333706963,1.763900331,4.206918037,958.4313703
-3.284799946,3.804232804,3.956170076,668.7638882,-3.391815862,1.899922496,3.940596325,523.6118657,-3.35975829,1.141928013,3.945715344,1046.882518,-3.323785088,3.211878215,4.206918037,956.3137026
-3.227749164,2.408908662,3.946248201,461.2972676,-3.362050237,3.306216168,3.920752575,363.842277,-3.310148915,4.988941982,3.945715344,940.3239641,-3.303941338,0.84245986,4.206918037,901.2247258
-3.207905414,1.728797837,3.926404451,332.6997639,-3.282675237,0.737152377,3.900908825,277.4243905,-3.30022704,0.993839366,3.945715344,817.364437,-3.284097588,2.237784002,3.961992379,817.8671576
-3.148374164,1.90869812,3.916482576,217.8713432,-3.262831487,1.885662108,3.8711432,97.09557951,-3.28038329,2.865241086,3.935793469,701.2200715,-3.264253838,2.915700921,3.952070504,753.9989028
